,lon,lat
0,37.13326,55.98038
1,37.93819,55.79633
2,34.36373,53.24332
3,37.70864,55.55717
4,39.20028,51.66153
5,37.84961,55.63093
6,37.52034,56.34394
7,37.5144,55.93362
8,37.76804,55.43711
9,60.59746,56.83801
10,38.00904,55.74643
11,38.11949,55.59778
12,37.21438,55.99189
13,37.905384,55.976226
14,84.9904,55.95371
15,49.10632,55.79855
16,36.26121,54.51384
17,38.75291,55.10315
18,37.48092,55.56705
19,37.85462,55.92221
20,37.86319,55.65984
21,37.33019,55.83109
22,38.97471,45.03556
23,36.19264,51.73036
24,39.59922,52.60882
25,37.474704,56.011837
26,37.89811,55.67649
27,37.62251,55.75321
28,37.34655,55.60214
29,37.724885,55.918641
30,36.734484,55.386185
31,44.00598,56.32688
32,38.44171,55.85459
33,37.26387,55.67889
34,37.54473,55.43117
35,37.39211,55.86363
36,37.84715,56.01042
37,38.22584,55.56732
38,37.85514,55.76051
39,39.71873,47.22254
40,39.73492,54.62914
41,50.10173,53.19553
42,30.31586,59.93909
43,37.72368,55.53567
44,46.03415,51.5331
45,38.13599,56.31529
46,37.41676,54.91353
47,49.4192,53.50881
48,35.91189,56.85961
49,37.61775,54.19303
50,37.305561,55.484842
51,55.95872,54.73514
52,38.05233,55.95793
53,37.43032,55.88879
54,61.40255,55.15989
55,37.46699,55.14985
56,37.97839,55.92338
57,38.443214,55.790398
58,39.89378,57.62656
59,37.0,55.0
60,37.0,55.0
61,37.588153,55.519514
62,37.295616,55.951779
63,38.078205,54.890183
